,title,singer,lyrics,img,like
0,후라이의 꿈,AKMU (악뮤),"저 거위도 벽을 넘어 하늘을 날을 거라고
달팽이도 넓고 거친 바다 끝에 꿈을 둔다고
나도 꾸물꾸물 말고 꿈을 찾으래
어서 남의 꿈을 빌려 꾸기라도 해

내게 강요하지 말아요 이건 내 길이 아닌걸
내밀지 말아요 너의 구겨진 꿈을

난 차라리 흘러갈래
모두 높은 곳을 우러러볼 때
난 내 물결을 따라
Flow flow along flow along my way

난 차라리 꽉 눌러붙을래
날 재촉한다면
따뜻한 밥 위에 누워 자는
계란 fry fry 같이 나른하게

고래도 사랑을 찾아 파도를 가를 거라고
하다못해 네모도 꿈을 꾸는데
아무도 꿈이 없는 자에겐 기회를 주지 않아
하긴 무슨 기회가 어울릴지도 모를 거야

무시 말아 줘요 하고 싶은 게 없는걸
왜 그렇게 봐 난 죄지은 게 아닌데

난 차라리 흘러갈래
모두 높은 곳을 우러러볼 때
난 내 물결을 따라
Flow flow along flow along my way

난 차라리 꽉 눌러붙을래
날 재촉한다면
따뜻한 밥 위에 누워 자는
계란 fry fry 같이

Spread out
틀에 갇힌 듯한 똑같은 꿈
Spread out out
난 이 두꺼운 껍질을 깨고 나와 퍼지고 싶어

난 차라리 굴러갈래
끝은 안 보여 뒤에선 등 떠미는데
난 내 물결을 따라
Flow flow along flow along my way

난 차라리 꽉 눌러붙을래
날 재촉한다면
고민 하나 없이 퍼져 있는
계란 fry fry 같이 나른하게",https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg?93148adc9d3b5622f4c4dca1e429650e/melon/resize/282/quality/80/optimize,"103,110"
1,숲,최유리,"난 저기 숲이 돼볼게
너는 자그맣기만 한 언덕 위를
오르며 날 바라볼래
나의 작은 마음 한구석이어도 돼
길을 터 보일게 나를 베어도 돼
날 지나치지 마 날 보아줘
나는 널 들을게 이젠 말해도 돼
날 보며
아 숲이 아닌 바다이던가
옆엔 높은 나무가 있길래
하나라도 분명히 하고파 난 이제
물에 가라앉으려나
난 저기 숲이 돼볼래
나의 옷이 다 눈물에 젖는대도
아 바다라고 했던가
그럼 내 눈물 모두 버릴 수 있나
길을 터 보일게 나를 베어도 돼
날 밀어내지 마 날 네게 둬
나는 내가 보여 난 항상 나를 봐
내가 늘 이래
아 숲이 아닌 바다이던가
옆엔 높은 나무가 있길래
하나라도 분명히 하고파 난 이제
물에 가라앉으려나
나의 눈물 모아 바다로만
흘려보내 나를 다 감추면
기억할게 내가 뭍에 나와있어
그때 난 숲이려나",https://cdnimg.melon.co.kr/cm2/album/images/110/36/283/11036283_20220823181214_500.jpg?f48b6b6e3177a27e9b05ba2ad56d7799/melon/resize/282/quality/80/optimize,"74,714"
2,Too Sad to Dance,정국,"Last week I found a message in a bottle
It said go home ain’t nobody love you no more
I can’t disagree
So last night I went to the club
Had a couple too many threw up
Now everybody’s laughing at me
‘Cause I’m way too sad
Way too sad to dance
I’m way too sad to dance
‘Cause I got too caught up my friends agree
A broken heart and nobody
And that’s why I’m too sad to dance
And now I just wait by the telephone
You ain’t coming back and I should’ve known
And that’s why I’m too sad to dance
And that’s why I’m too sad to dance
This morning I knocked your door
Just to admit my floors
But you said you’ve heard it all before
And this Christmas I got no gifts
Do I really deserve all this
So I head straight down to the liquor store
‘Cause I’m way too sad
Way too sad to dance
I’m way too sad to dance
‘Cause I got too caught up my friends agree
A broken heart and nobody
And that’s why I’m too sad to dance
And now I just wait by the telephone
You ain’t coming back and I should’ve known
And that’s why I’m too sad to dance
And that’s why I’m too sad to dance
And that’s why I’m too sad to dance
So I called up my pops last night
He said by the morning light
You won’t need no romance
He told me, walk that walk alone
And talk that talk you know
‘Cause you don’t need no one to dance",https://cdnimg.melon.co.kr/cm2/album/images/113/58/100/11358100_20231102174659_500.jpg?fc69bf8e90761548f40baa25ae341a86/melon/resize/282/quality/80/optimize,"24,077"
3,연애편지,임영웅,"노을에 물든 저녁 하늘이
오랜만에 참 좋은 저녁입니다
문득 떠오른 그대 생각에
나지막이 이름을 불러봅니다
나도 몰래 꺼내 본 낡은 수첩엔
그대가 너무도 많아
차마 그립단 말 대신
꽃잎을 넣어 보내며
하얀 종이에 하지 못한 말
아직 그댄 내 고운 사랑입니다
외로이 스쳐 창을 흔드는
바람 소리 쓸쓸한 시간입니다
어둠 만들고 초를 태우며
나지막이 그대를 불러봅니다
나도 몰래 꺼내 본 낡은 사진엔
그대가 너무도 많아
차마 그립단 말 대신
바라본 밤하늘에는
아스라이 먼 작은 별 하나
외로이 홀로 남아 깜박입니다
그대를 닮은 작은 별 하나
외로이 홀로 남아 깜박입니다
그대 고운 이름은 사랑입니다",https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize,"50,692"
4,Somebody,디오 (D.O.),"언젠가부터
겁이 많아진 것 같아
자꾸만 내가 아닌
내가 되는 기분
내게 사랑이란
영화 같지 않아 Always
어쩌면 매번
맞지 않는 눈높이를
계속 맞추려고
혼자 애쓴 거지
그게 맘을 쉽게
지치게 했던 것 같긴 해
I want somebody
걸음이 더디긴 해도
I want somebody
뜨겁게 타진 않더라도
모든 내 방식들이
다 답인 듯이
또 가만히 내 손을 잡아주는
내 맘속에 누군가
다가와 주길 바래
I love you I love you
I love you I love you
누군가 나를
들여다보려고 하면
더 이상 감출 생각 없어
나도 이젠
나란히 내 옆으로
와서 서준다면
함께 걸을게
I want somebody
걸음이 더디긴 해도
I want somebody
뜨겁게 타진 않더라도
모든 내 방식들이
다 답인 듯이
또 가만히 내 손을 잡아주는
내 맘속에 누군가
다가와 주길 바래
I love you I love you
I love you I love you
I want somebody
somebody who loves me
내 마음속 깊은 곳까지
내 사랑의 방식들까지
내 그대롤
I want somebody
somebody who loves me
내 마음속 그림자까지
내 사랑의 표현들까지
다 알아줄
I want somebody
수많은 저 사람들 중
I want somebody
우연히 내게 다가와 줄
모든 내 방식들이
다 답인 듯이
또 가만히 내 손을 잡아주는
그 순간이 내게도
찾아와 주길 바래
I love you I love you
I love you I love you",https://cdnimg.melon.co.kr/cm2/album/images/113/23/044/11323044_20230918120653_500.jpg?96485815b31c83574ba34db820882316/melon/resize/282/quality/80/optimize,"32,960"
5,그라데이션,10CM,"밤은 다시 길고 깊어졌네
나는 점점 너로 잠 못 들게 돼
글로 적어내긴 어려운 이 기분을
너도 느꼈으면 좋겠는데
너는 아무 생각 없이 몇 번
나를 지나가며 웃은 거라지만
나의 하얀 옷에 너의 잉크가 묻어
닦아낼 수 없을 만큼 번졌네
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
요즘 노랜 뭔가 맘에 안 들어
네게 불러 주기엔 좀 어려워서
나름 며칠 밤을 새워 연습했지만
네게 들려주기엔 무리인 것 같아
너는 번질수록 진해져 가고
나의 밤은 좀 더 길고 외롭지만
하루종일 떠오르는 너의 얼굴은
방을 가득 채워 무지개같이
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
바람을 맞고 빗물에 젖어
나의 색감도 흐려지겠지만
너는 항상 빛에 반짝일 테니까
멋진 말들을 전하지 못하고
아무도 관심 없는 그림이 되겠지만
달콤한 색감은 감추지 못해
터지고 있어
내일은 말을 걸어봐야지
그냥 이 노래가 어떨까 싶어",https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg?efdbc59fa40108e58ae72d3747be01ba/melon/resize/282/quality/80/optimize,"160,186"
6,첫사랑,백아,"알아 내 맘에 조용히
문을 두드리면
눈에 뿌옇게 고여버린
널 흘려보내야 해
기억은 저 빠른
시곗바늘을 놓쳐
처음 널 알아본
마지막에 웃어보일거야
사선을 트는 저 빛은
날 향해 불을 피우고
재가 되지 않으려
난 돌아서지만
빈 갈피에 차오른
우리라는 색은
완벽할 필요 없이
아름다운 영화였어
우리가 머문 밤 사이
피어버린 심장소리에
밤 하늘의 별을 이어
널 그리는 걸
이 시간의 난
너와의 시간을 물 들이고
첫사랑이라는
이름으로 지어지나봐
저 별도 달도 사랑한
우리의 파란 하늘은
손 닿을 필요 없이 부서진
은하수인것 같아
우리가 머문 밤 사이
피어버린 심장소리에
밤 하늘의 별을 이어
널 그리는 걸
이 시간의 난
너와의 시간을 물 들이고
첫 사랑이라는
이름으로 지어지나봐
이 시간의 난
첫 사랑이라는
이름으로 지워지나봐",https://cdnimg.melon.co.kr/cm/album/images/102/10/149/10210149_500.jpg?070403fcabbb604154547191e4453568/melon/resize/282/quality/80/optimize,"175,731"
7,오랜 날 오랜 밤,AKMU (악뮤),"별 하나 있고
너 하나 있는
그곳이 내 오랜 밤이었어
사랑해란 말이 머뭇거리어도
거짓은 없었어
넌 화나 있고
참 조용했던
그곳이 내 오랜 밤이었어
어둠 속에서도 잠 이루지 못해
흐느껴오는 너의 목소리
그대 곁이면
그저 곁에서만 있어도
행복했단 걸
그 사실까지 나쁘게
추억 말아요
오랜 날
오랜 밤 동안
정말 사랑했어요
어쩔 수 없었다는 건
말도 안 될 거라 생각하겠지만
밉게 날
기억하지는 말아줄래요
아직도 잘 모르겠어
당신의 흔적이
지울 수 없이 소중해
잘 자요 안녕
그 말 끝으로
흐른 시간은 오랜 날 같았어
우린 서로에게
깊어져 있었고
난 그게 두려워
넌 가만있고
나도 그러했던
순간은 우리 오랜 날
함께한 시간을
아무런 의미도 없듯이
추억만 하게 하겠죠
그대 곁이면
그저 곁에서만 있어도
보고 싶고 또 행복했어
그건 진심이었소
오랜 날
오랜 밤 동안
정말 사랑했어요
어쩔 수 없었다는 건
말도 안 될 거라 생각하겠지만
밉게 날
기억하지는 말아줄래요
아직도 잘 모르겠어
당신의 흔적이
지울 수 없이 소중해
하늘이 참 뿌옇고
맘을 다잡아야 하죠
이젠 마지막 목소리
마지막 안녕
밉게 날
기억하지는 말아줄래요
아직도 잘 모르겠어
당신의 흔적이
지울 수 없이
소중해",https://cdnimg.melon.co.kr/cm/album/images/100/27/786/10027786_500.jpg?922b7b248cc34ce59184278b317d5f0d/melon/resize/282/quality/80/optimize,"237,706"
8,나의 사춘기에게,볼빨간사춘기,"나는 한때 내가 이 세상에
사라지길 바랬어
온 세상이 너무나 캄캄해
매일 밤을 울던 날
차라리 내가 사라지면
마음이 편할까
모두가 날 바라보는 시선이
너무나 두려워
아름답게 아름답던
그 시절을 난 아파서
사랑 받을 수 없었던
내가 너무나 싫어서
엄마는 아빠는 다
나만 바라보는데
내 마음은 그런 게 아닌데
자꾸만 멀어만 가
어떡해 어떡해 어떡해 어떡해
시간이 약이라는 말이
내게 정말 맞더라고
하루가 지나면 지날수록
더 나아지더라고
근데 가끔은 너무 행복하면
또 아파올까 봐
내가 가진 이 행복들을
누군가가 가져갈까 봐
아름다운 아름답던
그 기억이 난 아파서
아픈 만큼 아파해도
사라지지를 않아서
친구들은 사람들은 다
나만 바라보는데
내 모습은 그런 게 아닌데
자꾸만 멀어만 가
그래도 난 어쩌면
내가 이 세상에
밝은 빛이라도 될까 봐
어쩌면 그 모든 아픔을
내딛고서라도
짧게 빛을 내볼까 봐
포기할 수가 없어
하루도 맘 편히 잠들 수가 없던 내가
이렇게라도 일어서 보려고 하면
내가 날 찾아줄까 봐
아아아아아아아 아아아아아아아
아아아아아아아 아아아아아아아
얼마나 얼마나 아팠을까
얼마나 얼마나 아팠을까
얼마나 얼마나 얼마나 바랬을까",https://cdnimg.melon.co.kr/cm/album/images/101/00/191/10100191_500.jpg?0e733ba07eeb0fd8a39f04a8eb6291fd/melon/resize/282/quality/80/optimize,"318,642"
9,오래된 노래,스탠딩 에그,"오래 전에 함께 듣던 노래가
발걸음을 다시 멈춰서게 해
이 거리에서
너를 느낄 수 있어
널 이 곳에서
꼭 다시 만날 것 같아
너 일까봐 한번더 바라보고
너 일까봐 자꾸 돌아보게 돼
어디선가 같은 노래를 듣고
날 생각하며
너 역시 멈춰있을까
오래 전에 함께 듣던 노래가
거리에서 내게
우연히 들려온 것처럼
살아가다 한번쯤
우연히 만날 것 같아
사랑했던 그 모습 그대로
내 사랑이
그대로인 것처럼
발걸음이 여길
찾는 것처럼
꼭 만날꺼야
지금 이 노래처럼
날 사랑하는 네 맘도
같을테니까
오래 전에 함께 듣던 노래가
거리에서 내게
우연히 들려온 것처럼
살아가다 한번쯤
우연히 만날 것 같아
사랑했던 그 모습 그대로
운명처럼 아니면 우연처럼
우리가 다시 예전처럼
만날 수 있다면
너에게 나 해주고 싶은
말이 하나 있어
널 다시는 놓치지 않을게
오래 전에 함께 듣던 노래가
거리에서 내게
우연히 들려온 것처럼
살아가다 한번쯤
우연히 만날 것 같아
사랑했던 그 모습 그대로",https://cdnimg.melon.co.kr/cm/album/images/021/48/596/2148596_500.jpg/melon/resize/282/quality/80/optimize,"262,609"
10,스토커,10CM,"나도 알아 나의 문제가 무엇인지
난 못났고 별 볼 일 없지
그 애가 나를 부끄러워 한다는 게
슬프지만 내가 뭐라고
빛나는 누군갈 좋아하는 일에
기준이 있는 거라면
이해할 수 없지만 할 말 없는걸
난 안경 쓴 샌님이니까
내가 이렇게 사랑하는데
이렇게 원하는데
나는 아무것도 할 수 없고
바라만 보는데도
내가 그렇게 불편할까요
내가 나쁜 걸까요
아마도 내일도 그 애는 뒷모습만
이제 알아 나의 할 일이 무엇인지
다 포기하고 참아야 하지
저 잘 나가는 너의 남자친구처럼
되고 싶지만 불가능하지
빛나는 누군갈 좋아하는 일에
기준이 있는 거라면
이해할 수 없지만 할 말 없는걸
난 안경 쓴 샌님이니까
내가 이렇게 사랑하는데
이렇게 원하는데
나는 아무것도 할 수 없고
바라만 보는데도
내가 그렇게 불편할까요
내가 나쁜 걸까요
아마도 내일도 그 애는
나는 왜 이런 사람 이런 모습이고
이런 사랑을 하고
나는 아무것도 될 수 없고
바라만 보는데도
내가 그렇게 불편하니까
내가 나쁜 거니까
아마도 내일도 그 애는
나도 알아 나의 문제가 무엇인지",https://cdnimg.melon.co.kr/cm/album/images/022/90/452/2290452_500.jpg/melon/resize/282/quality/80/optimize,"277,201"
11,가을 아침,아이유,"이른 아침 작은 새들 노랫소리 들려오면
언제나 그랬듯 아쉽게 잠을 깬다
창문 하나 햇살 가득 눈부시게 비쳐오고
서늘한 냉기에 재채기할까 말까 음
눈 비비며 빼꼼히 창밖을 내다보니
삼삼오오 아이들은 재잘대며 학교 가고
산책 갔다 오시는 아버지의 양손에는
효과를 알 수 없는 약수가 하나 가득 음
딸각딸각 아침 짓는 어머니의 분주함과
엉금엉금 냉수 찾는 그 아들의 게으름이
상큼하고 깨끗한 아침의 향기와
구수하게 밥 뜸드는 냄새가 어우러진
가을 아침 내겐 정말 커다란 기쁨이야
가을 아침 내겐 정말 커다란 행복이야
응석만 부렸던 내겐
파란 하늘 바라보며 커다란 숨을 쉬니
드높은 하늘처럼 내 마음 편해지네
텅 빈 하늘 언제 왔나 고추잠자리 하나가
잠 덜 깬 듯 엉성히 돌기만 비잉비잉 음
토닥토닥 빨래하는 어머니의 분주함과
동기동기 기타 치는 그 아들의 한가함이
심심하면 쳐대는 괘종시계 종소리와
시끄러운 조카들의 울음소리 어우러진
가을 아침 내겐 정말 커다란 기쁨이야
가을 아침 내겐 정말 커다란 행복이야
응석만 부렸던 내겐
가을 아침 내겐 정말 커다란 기쁨이야
가을 아침 내겐 정말 커다란 행복이야
뜬구름 쫓았던 내겐
이른 아침 작은 새들 노랫소리 들려오면
언제나 그랬듯 아쉽게 잠을 깬다
창문 하나 햇살 가득 눈부시게 비쳐오고
서늘한 냉기에 재채기할까 말까 음",https://cdnimg.melon.co.kr/cm/album/images/100/96/855/10096855_500.jpg?143adaa26f0aeb5c274cb302ddac684f/melon/resize/282/quality/80/optimize,"302,427"
12,Love story,볼빨간사춘기,"Thought that I was princess
날 좋아하던 그때
수줍게 꽃을 건네던 너에게
웃으며 손을 내밀었지
시간 지나 my birthday
우린 몰래 run away
온통 둘뿐인 밤거릴 걷다가
너와 눈이 마주친 그날
Oh babe 너의 눈동자에 cheers
달빛에 비춰진 우리의 흩어진 잔상
너의 이야기에 취해
밤하늘의 별이 쏟아질 것만 같은 기분
Oh god please this is not a dream
Thought that it was romance
날 바래다준 그때
수줍게 인사를 건네던 너에게
살며시 입을 맞추었지
시간 지나 go on trip
한 손엔 진한 커피
우리가 새긴 별자릴 찾다가
너와 눈이 마주친 그날
Oh babe 너의 눈동자에 cheers
달빛에 비춰진 우리의 흩어진 잔상
너의 이야기에 취해
밤하늘의 별이 쏟아질 것만 같은 기분
Oh oh oh 꿈인가 봐
그래 니가 내 옆에 있는 꿈
Oh oh no
아니잖아 이건 yeah
I got you boy
Oh babe 너의 눈동자에 cheers
붉게 물들어진 우리의 오래된 잔상
너의 이야기에 취해
온 세상의 별이 쏟아질 것만 같은 기분
Oh god please this is not a dream",https://cdnimg.melon.co.kr/cm2/album/images/109/26/502/10926502_20220420071020_500.jpg?8c6377ae72a311f6c1d593c757d1361b/melon/resize/282/quality/80/optimize,"120,044"
13,우주를 줄게,볼빨간사춘기,"커피를 너무 많이 마셨나 봐요
심장이 막 두근대고
잠은 잘 수가 없어요
한참 뒤에 별빛이 내리면
난 다시 잠들 순 없겠죠
지나간 새벽을 다 새면
다시 네 곁에 잠들겠죠
너의 품에 잠든 난 마치
천사가 된 것만 같아요
난 그대 품에
별빛을 쏟아 내리고
은하수를 만들어
어디든 날아가게 할거야
Cause I’m a pilot anywhere
Cause I’m a pilot anywhere
lighting star shooting star
줄게 내 Galaxy
Cause I’m a pilot anywhere
Cause I’m your pilot 네 곁에
저 별을 따 네게만
줄게 my Galaxy
Like a star 내리는 비처럼
반짝이는 널 가지고 싶어
Get ma mind
엄지와 검지만 해도
내 마음을 너무 잘 표현해
붙어 안달 나니까
마냥 떨리기만 한 게 아냐
준비가 되면 쏘아 올린
인공위성처럼
네 주윌 마구 맴돌려 해
더 가까워진다면
네가 가져줄래
이 떨림을
어제는 내가 기분이 참 좋아서
지나간 행성에다가
그대 이름 새겨 놓았죠
한참 뒤에 별빛이 내리면
그 별이 가장 밝게 빛나요
지나간 새벽을 다 새면
다시 네 곁에 잠들겠죠
별빛 아래 잠든 난 마치
온 우주를 가진 것만 같아
난 그대 품에
별빛을 쏟아 내리고
은하수를 만들어
어디든 날아가게 할거야
Cause I’m a pilot anywhere
Cause I’m a pilot anywhere
Lighting star Shooting star
줄게 내 Galaxy
Cause I’m a pilot anywhere
Cause I’m your pilot 네 곁에
저 별을 따 네게만
줄게 my Galaxy
Cause I’m a pilot anywhere
Cause I’m a pilot anywhere
Lighting star Shooting star
줄게 내 Galaxy
Cause I’m a pilot I’m your pilot
Lighting star Shooting star
줄게 my Galaxy
la la la la la la
la la la la la la",https://cdnimg.melon.co.kr/cm/album/images/027/07/131/2707131_500.jpg?d12844bf96d3e276ece24c1a2a50fd68/melon/resize/282/quality/80/optimize,"295,410"
14,FRIEND THE END,볼빨간사춘기,"요즘엔 썸이라는 단어를 난 쓰지 않아
친구란 완벽한 단어로 숨길 수가 있지
사랑이 좀처럼 내키지 않아 난 이대로
아슬아슬하게 선을 넘어
벚꽃이 피면 또 같은 곳에 서 있겠지
분홍빛으로 물든 계절을 함께하며
꽃잎이 하나 둘 셋
시간이 하나 둘 셋
Cherry Blossom 내 손을 잡아 넌
아무렇지 않지 않게 웃어버리면
사랑일까 널 바라보며 난
고개를 들어 입 맞춰버린 거야 이제 난
FRIEN(D) THE END
FRIEN(D) THE END
FRIEN(D) THE END
THE END
벚꽃이 피면 또 같은 곳에 서 있겠지
분홍빛으로 물든 계절을 함께하며
꽃잎이 하나 둘 셋
시간이 하나 둘 셋
Cherry Blossom 내 손을 잡아 넌
아무렇지 않지 않게 웃어버리면
사랑일까 널 바라보며 난
고개를 들어 입 맞춰버린 거야 이제
숨길 수 없는가 봐
널 좋아하는 게
네 곁에 있을 때 자꾸 맘이 아픈 게
꽃잎이 떨어지네
우리 머리 위로
웃음이 터져버린 거야 This is love
Cherry Blossom 내 손을 잡아 넌
아무렇지 않지 않게 웃어버리면
사랑일까 널 바라보며 난
고개를 들어 입 맞춰버린 거야 이제 난
Friend the end 하얀 Blossom
Friend the end Cherry Blossom
FRIEN(D) THE END
FRIEN(D) THE END
FRIEN(D) THE END
THE END",https://cdnimg.melon.co.kr/cm2/album/images/112/24/405/11224405_20230414143309_500.jpg?ea0739c649affa777fe6d3df5d08ef6c/melon/resize/282/quality/80/optimize,"44,988"
15,Give Love,AKMU (악뮤),"니가 날 싫어해 하는 걸 알아
나는 서운해 그런 날
왜 너는 못 이해해
You don't understand
난 너를 좋아한다고
내가 뭘 잘못했는데
내게 왜 그러는데
그럴수록 난 되게 섭섭해
Oh I'm so sad
그러니까 슬슬
Let me come into your 마음
중요한 건 마음
결코 네 얼굴만 보고
좋아하는 거 아니 아니야
날 미워하는 너의
날이 선 말투까지도
사랑하게 된 거 이게 내 맘이야
너에 대한 건 사소한 것도
기억해 난 마니아
아무리 나삐 굴어도
넌 내게 이 순간 만화야
순정만화야 주인공은 맨날
맨날 이렇게 밤마다 기도해
Give Love 사랑을 좀 주세요
Give Love 사랑이 모자라요
매일매일 자라는 사랑을
그녀에게 주는데도 받질 않으니
Give Love 사랑을 좀 주세요
Give Love 사랑이 모자라요
매일매일 자라는 사랑을
그녀에게 주는데도 받질 않으니
Give Love
Give Love
Give Love
잘못한 것도 없는데 왜
무작정 싫어하고 보는 너
Why can't you understand me
난 너를 좋아한다고
네가 날 싫어해 하는 걸 안 후
부터 샘솟던 의욕이 다 시들고
설레던 내 맘도 끝이겠구나
했는데 또다시 슬금슬금
다가가도 될까
바라보는 것조차 싫어할까 봐
난 몰래 뒤에서 긍긍전전해
점점 해가 지면 달빛 정전에
용기가 나 내 맘을 전부 전해
하지만 그녀와 내 사이
거리 너무 멀어
주고 또 주는 사랑이 길바닥에
다 버려져 낙엽처럼 쌓이네
봄이 되면 흙으로 남아
혹시 기대해 싹이 될까
Give Love 사랑을 좀 주세요
Give Love 사랑이 모자라요
매일매일 자라는 사랑을
그녀에게 주는데도 받질 않으니
Give Love 사랑을 좀 주세요
Give Love 사랑이 모자라요
매일매일 자라는 사랑을
그녀에게 주는데도 받질 않으니
Give Love
Give Love
Give Love
Give Love
Give Love
Give Love",https://cdnimg.melon.co.kr/cm/album/images/022/49/127/2249127_500.jpg/melon/resize/282/quality/80/optimize,"141,624"
